coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
12.401,12.032,159.664,25.299,90.177,37.82,69.165,35.031,139.588,3.85,147.852,8.712,64.694,30.883,178.46,1.89,179.238,1.651,0,Agtron 65
12.348,16.047,156.79,24.919,86.465,37.06,65.769,34.509,139.645,3.558,146.388,8.37,61.808,30.447,178.46,1.89,179.238,1.651,0,Agtron 65
12.838,14.363,159.679,24.712,90.7,35.656,69.573,33.188,139.796,3.682,148.013,8.147,64.953,29.287,178.46,1.89,179.238,1.651,0,Agtron 65
12.612,13.785,157.608,24.606,90.139,36.52,69.364,34.067,139.545,3.563,147.584,8.324,64.873,30.081,178.46,1.89,179.238,1.651,0,Agtron 65
12.661,16.231,157.994,24.584,85.982,35.486,65.41,32.987,139.565,3.59,146.586,8.179,61.37,28.945,178.46,1.89,179.238,1.651,0,Agtron 65
12.123,11.822,163.227,22.354,90.192,35.708,68.328,33.041,140.35,3.568,148.01,8.107,63.836,29.106,180.217,3.435,176.172,3.196,0,Agtron 65
12.648,15.447,160.807,24.142,89.839,36.184,68.255,33.602,140.189,3.742,147.658,8.075,63.827,29.67,180.217,3.435,176.172,3.196,0,Agtron 65
11.925,11.263,161.177,23.621,86.745,37.808,65.694,34.88,139.712,3.619,147.093,8.636,61.69,30.712,180.217,3.435,176.172,3.196,0,Agtron 65
12.313,11.057,161.856,23.797,89.32,37.317,68.25,34.632,139.624,3.778,147.912,8.645,63.852,30.482,180.217,3.435,176.172,3.196,0,Agtron 65
11.829,10.905,163.604,22.405,88.942,36.397,67.095,33.631,140.326,3.627,147.775,8.333,62.778,29.592,180.217,3.435,176.172,3.196,0,Agtron 65
12.169,15.112,160.843,24.674,86.231,36.638,64.819,33.492,140.114,3.982,146.878,8.537,60.812,29.335,180.217,3.435,176.172,3.196,0,Agtron 65
11.575,10.195,164.678,22.231,87.052,35.182,65.201,32.443,140.422,3.602,147.477,8.186,61.047,28.445,180.217,3.435,176.172,3.196,0,Agtron 65
12.16,13.402,161.08,24.074,88.052,35.806,66.814,33.673,139.997,3.673,147.196,7.983,62.587,29.716,180.217,3.435,176.172,3.196,0,Agtron 65
11.727,10.375,161.606,22.49,86.319,35.539,65.172,32.706,139.91,3.57,147.086,8.183,61.093,28.71,180.217,3.435,176.172,3.196,0,Agtron 65
11.987,9.624,160.431,22.317,88.945,33.446,67.996,31.406,139.824,3.44,147.479,7.492,63.521,27.582,180.217,3.435,176.172,3.196,0,Agtron 65
